acct_id;alpha;acct_num;owner_name;last_visit_dt;last_full_insp_dt;last_insp_stat;prem_addr;bin;number;street;communitydistrict;citycouncildistrict;bbl;cent_latitude;cent_longitude;zipcode;borough;census_tract;nta
1;P;4812798;BEN RIC FUR FASHIONS INC;03/23/2018 00:00:00;03/23/2018 00:00:00;APPROVAL;186-14 UNION TNPK;0;186-14;UNION TNPK;;;;;;;;;
2;P;6486682;RICHAL INC.;03/23/2018 00:00:00;03/23/2018 00:00:00;APPROVAL;179-10 UNION TNPK;0;179-10;UNION TNPK;;;;;;;;;
3;C;6743934;CROSSTOWN MGT. CORP.;03/29/2017 00:00:00;03/29/2017 00:00:00;NOV(HOLD);179-18 UNION TNPK;0;179-18;UNION TNPK;;;;;;;;;
4;RR;23012560;F.D.N.Y.;01/25/2016 00:00:00;01/25/2016 00:00:00;APPROVAL;34-11 HUNTERS POINT AVE;0;34-11;HUNTERS POINT AVE;;;;;;;;;
5;G;26087460;MTA NYC TRANSIT;08/21/2014 00:00:00;08/21/2014 00:00:00;APPROVAL;1 176 STREET STATION;0;1;176 STREET STATION;;;;;;;;;
6;G;27149681;ANTLER APARTMENT;06/10/2014 00:00:00;06/10/2014 00:00:00;NOT APPROVAL(W/REASON);2079 DOUGLAS BLVD;0;2079;DOUGLAS BLVD;;;;;;;;;
7;G;28029114;MTA NYC TRANSIT;07/25/2018 00:00:00;07/25/2018 00:00:00;NOT APPROVAL(VIO);1 BEACH 116 ST STAT;0;1;BEACH 116 ST STAT;;;;;;;;;
9;G;28069136;MTA NYC TRANSIT;06/30/2018 00:00:00;06/30/2018 00:00:00;NOT APPROVAL(VIO);3 CANAL ST STATION;0;3;CANAL ST STATION;;;;;;;;;
10;F;28084887;BAINBRIDGE CLUSTER ASSOC;01/15/2014 00:00:00;01/15/2014 00:00:00;APPROVAL;412 MCDONOUGH ST;0;412;MCDONOUGH ST;;;;;;;;;
11;G;28084895;BAINBRIDGE CLUSTER ASSOC;12/10/2014 00:00:00;12/10/2014 00:00:00;APPROVAL;412 MCDONOUGH ST;0;412;MCDONOUGH ST;;;;;;;;;
14;G;28106250;CHELSEA PIERS MGMT INC.;07/08/2015 00:00:00;08/26/2014 00:00:00;NOT APPROVAL(W/REASON);1 CHELSEA PIERS;0;1;CHELSEA PIERS;;;;;;;;;
15;G;28106268;CHELSEA PIERS MGMT INC.;10/28/2014 00:00:00;08/27/2014 00:00:00;NOT APPROVAL(W/REASON);1 CHELSEA PIERS;0;1;CHELSEA PIERS;;;;;;;;;
17;G;28129138;NYC RESTORATION PROJECT;01/29/2014 00:00:00;01/29/2014 00:00:00;APPROVAL;1 PETER JAY SHARP PL;0;1;PETER JAY SHARP PL;;;;;;;;;
19;F;28142271;JOSE ARIAS;02/10/2017 00:00:00;02/10/2017 00:00:00;NOT APPROVAL(W/REASON);38 MARBLE HILL AVE;0;38;MARBLE HILL AVE;;;;;;;;;
23;P;28167344;UNION PLAZA MANAGEMENT;07/27/2018 00:00:00;07/27/2018 00:00:00;APPROVAL;211-18 UNION TNPK;0;211-18;UNION TNPK;;;;;;;;;
27;F;28209047;J.R.D. MGMT CORP;08/01/2014 00:00:00;08/01/2014 00:00:00;APPROVAL;10-36 NIELSON ST;0;10-36;NIELSON ST;;;;;;;;;
28;G;28209732;MTA NYC TRANSIT;11/16/2017 00:00:00;04/20/2017 00:00:00;NOT APPROVAL(W/REASON);1 SO FERRY STATION;0;1;SO FERRY STATION;;;;;;;;;
29;G;28209807;MTA NYC TRANSIT;03/14/2018 00:00:00;06/14/2017 00:00:00;NOT APPROVAL(W/REASON);1 SO FERRY STATION;0;1;SO FERRY STATION;;;;;;;;;
34;DV;28230506;CHELSEA PIERS MGMT INC.;04/29/2016 00:00:00;08/22/2015 00:00:00;NOT APPROVAL(W/REASON);1 CHELSEA PIERS;0;1;CHELSEA PIERS;;;;;;;;;
36;DV;28231462;CELTIC HOLDING LLC;04/03/2014 00:00:00;04/03/2014 00:00:00;APPROVAL;30-30 THOMPSON AVE;0;30-30;THOMPSON AVE;;;;;;;;;
37;DV;28231850;PUBLIC STORAGE;10/01/2014 00:00:00;04/09/2014 00:00:00;NOT APPROVAL(W/REASON);275 VETERANS RD;0;275;VETERANS RD;;;;;;;;;
38;DV;28233674;NY RESTORATION PROJECT;02/02/2016 00:00:00;09/11/2014 00:00:00;NOV(NO HOLD);1 PETER JAY SHARP PL;0;1;PETER JAY SHARP PL;;;;;;;;;
39;F;29006954;LANGSAM PROP SERVICES;01/29/2015 00:00:00;12/05/2013 00:00:00;NOT APPROVAL(W/REASON);63 ADRIAN AVE;0;63;ADRIAN AVE;;;;;;;;;
50;G;29099165;MTA NYC TRANSIT;08/28/2014 00:00:00;08/28/2014 00:00:00;APPROVAL;1 MT EDEN AVE STAT;0;1;MT EDEN AVE STAT;;;;;;;;;
58;G;29142460;BATTERY PK DEVELOP CORP;11/17/2015 00:00:00;04/15/2015 00:00:00;NOT APPROVAL(W/REASON);1 NORTH RIVER-PIER A;0;1;NORTH RIVER-PIER A;;;;;;;;;
60;G;29147527;TINY FOOTSTEPS CHILDCARE;10/31/2016 00:00:00;08/11/2015 00:00:00;NOV(NO HOLD);167-20 UNION TNPK;0;167-20;UNION TNPK;;;;;;;;;
77;P;30075402;G & L VENTURE LLC;10/09/2018 00:00:00;10/09/2018 00:00:00;APPROVAL;4231-33 ARTHUR KILL RD;0;4231-33;ARTHUR KILL RD;;;;;;;;;
80;N;30126585;CUNY;07/09/2014 00:00:00;07/09/2014 00:00:00;APPROVAL;94-45 GUY BREWER BLVD;0;94-45;GUY BREWER BLVD;;;;;;;;;
86;G;30197214;CHAMSA RLTY;05/11/2016 00:00:00;05/11/2016 00:00:00;NOT APPROVAL(W/REASON);186-14 UNION TNPK;0;186-14;UNION TNPK;;;;;;;;;
88;P;30222202;P&C #1 CORP.;12/14/2018 00:00:00;12/14/2018 00:00:00;NOT APPROVAL(W/REASON);56 50 ST;0;56;50 ST;;;;;;;;;
93;B;30272017;PUSH FITNESS CLUB;10/05/2018 00:00:00;10/05/2018 00:00:00;NOT APPROVAL(VIO);188-02 UNION TNPK;0;188-02;UNION TNPK;;;;;;;;;
97;G;31045321;NYCHA;01/15/2015 00:00:00;01/15/2015 00:00:00;NOT APPROVAL(W/REASON);3005 DOUGLAS BLVD;0;3005;DOUGLAS BLVD;;;;;;;;;
105;G;31143100;EMS STATION #4;08/31/2018 00:00:00;08/31/2018 00:00:00;NOT APPROVAL(W/REASON);1 PIER 36 EMS BLDG;0;1;PIER 36 EMS BLDG;;;;;;;;;
106;G;31159494;HARLEM YMCA OUTREACH/1FL;05/05/2014 00:00:00;06/15/2011 00:00:00;APPROVAL;2621 ADAM CLAYTON BLVD;0;2621;ADAM CLAYTON BLVD;;;;;;;;;
108;G;31181571;MTA NYC TRANSIT;07/13/2016 00:00:00;07/13/2016 00:00:00;NOT APPROVAL(VIO);1 BEACH 67 ST STATION;0;1;BEACH 67 ST STATION;;;;;;;;;
111;G;31215429;NYC DOE;03/19/2014 00:00:00;03/19/2014 00:00:00;NOT APPROVAL(W/REASON);84 SCHAEFFER ST;0;84;SCHAEFFER ST;;;;;;;;;
121;G;32030348;MTA NYC TRANSIT;02/25/2017 00:00:00;02/25/2017 00:00:00;APPROVAL;1 BEACH 60 ST STATION;0;1;BEACH 60 ST STATION;;;;;;;;;
122;G;32072977;GARDEN OF EDEN ASSOC;07/17/2015 00:00:00;07/17/2015 00:00:00;NOT APPROVAL(W/REASON);2217 DOUGLAS BLVD;0;2217;DOUGLAS BLVD;;;;;;;;;
123;G;32072985;GARDEN OF EDEN ASSOC.;07/17/2015 00:00:00;07/17/2015 00:00:00;NOT APPROVAL(W/REASON);2211 DOUGLAS BLVD;0;2211;DOUGLAS BLVD;;;;;;;;;
124;P;32074718;CLEAN RITE LAUNDRY;04/10/2018 00:00:00;04/10/2018 00:00:00;APPROVAL;8209-11 FLATLANDS AVE;0;8209-11;FLATLANDS AVE;;;;;;;;;
125;DV;32093007;MB FAMILY LLC;03/09/2018 00:00:00;03/09/2018 00:00:00;NOT APPROVAL(W/REASON);40-23 ITHACA ST;0;40-23;ITHACA ST;;;;;;;;;
130;S;32122798;CCA CIVIL INC;06/18/2014 00:00:00;06/18/2014 00:00:00;APPROVAL;29 LAMBERTS LA;0;29;LAMBERTS LA;;;;;;;;;
132;S;32143547;SKANSKA;04/19/2016 00:00:00;04/19/2016 00:00:00;APPROVAL;100 WASHINGTON ST;0;100;WASHINGTON ST;;;;;;;;;
135;P;32153595;GRAB & GO CONVENIENCE;10/19/2018 00:00:00;10/19/2018 00:00:00;APPROVAL;272-08 UNION TNPK;0;272-08;UNION TNPK;;;;;;;;;
136;F;32178105;394/6/98 MCDONOUGH HSG;08/28/2014 00:00:00;08/28/2014 00:00:00;APPROVAL;394 MCDONOUGH ST;0;394;MCDONOUGH ST;;;;;;;;;
138;F;32195075;CHASE COLLISION;12/21/2017 00:00:00;12/21/2017 00:00:00;NOT APPROVAL(VIO);1213-43 E 15 ST;0;1213-43;E 15 ST;;;;;;;;;
142;T;32214827;JP MORGAN CHASE BANK;02/05/2015 00:00:00;02/05/2015 00:00:00;NOT APPROVAL(W/REASON);98 W 225 ST;0;98;W 225 ST;;;;;;;;;
144;T;32238875;CELIT HOLDINGS LLC;06/24/2014 00:00:00;06/24/2014 00:00:00;NOT APPROVAL(W/REASON);30-30 THOMPSON AVE;0;30-30;THOMPSON AVE;;;;;;;;;
147;R;32262115;SKANSKA KOCH INC;05/29/2014 00:00:00;05/29/2014 00:00:00;APPROVAL;100 WASHINGTON ST;0;100;WASHINGTON ST;;;;;;;;;
151;G;32290587;MTA NYC TRANSIT;08/24/2017 00:00:00;08/05/2017 00:00:00;NOT APPROVAL(W/REASON);1 61 ST & WOODSIDE AVE STAT;0;1;61 ST & WOODSIDE AVE STAT;;;;;;;;;
158;F;33003054;CALVIN CLINTON;11/19/2015 00:00:00;11/19/2015 00:00:00;APPROVAL;324 MCDONOUGH ST;0;324;MCDONOUGH ST;;;;;;;;;
160;T;33004771;CELTIC HOLDING LLC;06/24/2014 00:00:00;06/24/2014 00:00:00;NOT APPROVAL(W/REASON);30-30 THOMPSON AVE;0;30-30;THOMPSON AVE;;;;;;;;;
171;S;33081241;PETER SCALAMANDRE & SONS;01/15/2014 00:00:00;01/15/2014 00:00:00;APPROVAL;21 WEST END AVE;0;21;WEST END AVE;;;;;;;;;
179;F;33138025;MICHAEL NAIRNE;11/13/2015 00:00:00;11/13/2015 00:00:00;APPROVAL;558 MCDONOUGH ST;0;558;MCDONOUGH ST;;;;;;;;;
181;R;33154113;MACY'S FIREWORKS;07/04/2018 00:00:00;07/04/2018 00:00:00;APPROVAL;52-10 CENTER BLVD;0;52-10;CENTER BLVD;;;;;;;;;
183;R;33157157;RUTTURA & SONS;01/16/2014 00:00:00;01/16/2014 00:00:00;APPROVAL;340 GATEWAY DR;0;340;GATEWAY DR;;;;;;;;;
187;S;33179680;GRANITE DESIGNS;09/27/2018 00:00:00;09/27/2018 00:00:00;APPROVAL;485 INDUSTRIAL LOOP;0;485;INDUSTRIAL LOOP;;;;;;;;;
188;F;33179706;EDGE AUTO REPAIR;09/27/2018 00:00:00;09/27/2018 00:00:00;APPROVAL;487 INDUSTRIAL LOOP;0;487;INDUSTRIAL LOOP;;;;;;;;;
191;B;33216144;NYC DEPT OF PARKS;10/11/2018 00:00:00;10/11/2018 00:00:00;NOT APPROVAL(W/REASON);338 STORY RD;0;338;STORY RD;;;;;;;;;
193;I;33225848;NYC PARKS & RECREATION;09/04/2018 00:00:00;09/04/2018 00:00:00;APPROVAL;77 CHEROKEE PL;0;77;CHEROKEE PL;;;;;;;;;
197;I;33237314;NYC PARKS & RECREATION;08/29/2018 00:00:00;08/29/2018 00:00:00;APPROVAL;67 CLAREMONT PKWY;0;67;CLAREMONT PKWY;;;;;;;;;
198;S;33239419;NYC DEP OF PARKS;07/24/2018 00:00:00;07/24/2018 00:00:00;APPROVAL;301 SHORE RD;0;301;SHORE RD;;;;;;;;;
201;S;33264557;TUTOR PERINI;11/07/2016 00:00:00;11/07/2016 00:00:00;APPROVAL;100 HUDSON RD;0;100;HUDSON RD;;;;;;;;;
205;N;33280819;CITY UNIVERSITY OF NY;02/20/2014 00:00:00;02/20/2014 00:00:00;APPROVAL;94-45 GUY BREWER BLVD;0;94-45;GUY BREWER BLVD;;;;;;;;;
206;N;33280835;CITY UNIVERSITY OF NY;07/09/2014 00:00:00;07/09/2014 00:00:00;APPROVAL;94-45 GUY BREWER BLVD;0;94-45;GUY BREWER BLVD;;;;;;;;;
208;A;33289448;USA ROOFING CO CORP;05/13/2015 00:00:00;05/13/2015 00:00:00;APPROVAL;163 FLUSHING AVE;0;163;FLUSHING AVE;;;;;;;;;
218;P;33311523;BELLROSE JEWISH CENTER;10/15/2018 00:00:00;10/15/2018 00:00:00;APPROVAL;254-14 UNION TNPK;0;254-14;UNION TNPK;;;;;;;;;
220;Z;33316670;ISLAND INTERNATIONAL ENT;03/20/2014 00:00:00;03/20/2014 00:00:00;APPROVAL;340 GATEWAY DR;0;340;GATEWAY DR;;;;;;;;;
221;AA;33322371;WALTER T GORMAN;08/18/2014 00:00:00;08/18/2014 00:00:00;NOT APPROVAL(W/REASON);114-15 GUY BREWER BLVD;0;114-15;GUY BREWER BLVD;;;;;;;;;
222;T;33325630;CUNY(YORK COLLEGE);10/07/2014 00:00:00;10/07/2014 00:00:00;APPROVAL;94-45 GUY BREWER BLVD;0;94-45;GUY BREWER BLVD;;;;;;;;;
223;N;34001032;MG REALTY LLC;06/03/2016 00:00:00;06/03/2016 00:00:00;APPROVAL;1029 6 AVE;0;1029;6 AVE;;;;;;;;;
224;G;34011494;NORWAY ASSOCIATES INC.;03/04/2016 00:00:00;03/17/2015 00:00:00;NOT APPROVAL(W/REASON);91 VAN CORTLANDT PARK W;0;91;VAN CORTLANDT PARK W;;;;;;;;;
225;N;34011775;NYCDEP;05/30/2014 00:00:00;05/30/2014 00:00:00;APPROVAL;301 SHORE RD;0;301;SHORE RD;;;;;;;;;
226;S;34012823;GRAMERCY GROUP, INC.;01/14/2014 00:00:00;01/14/2014 00:00:00;APPROVAL;17 W END AVE;0;17;W END AVE;;;;;;;;;
227;S;34016220;PETER SCALAMDRE & SONS I;01/15/2014 00:00:00;01/15/2014 00:00:00;APPROVAL;21 WEST END AVE;0;21;WEST END AVE;;;;;;;;;
228;AA;34019034;NY PRESBYTERIAN M.C.;01/27/2014 00:00:00;01/27/2014 00:00:00;NOT APPROVAL(W/REASON);710 WEST ST;0;710;WEST ST;;;;;;;;;
231;AA;34035774;KINGSBRIDGE ASSOCIATES;02/14/2014 00:00:00;02/14/2014 00:00:00;NOT APPROVAL(W/REASON);90 W 225 ST;0;90;W 225 ST;;;;;;;;;
232;E;34042283;NYC CUNY;09/24/2018 00:00:00;09/24/2018 00:00:00;APPROVAL;29-10 THOMPSON AVE;0;29-10;THOMPSON AVE;;;;;;;;;
233;T;34043158;SAKER AVIATION SERVICES;04/09/2014 00:00:00;04/09/2014 00:00:00;APPROVAL;1 PIER 6;0;1;PIER 6;;;;;;;;;
234;AA;34044131;DEPT OF CORRECTIONS;02/25/2014 00:00:00;02/25/2014 00:00:00;NOT APPROVAL(W/REASON);17-19 HAZEN ST;0;17-19;HAZEN ST;;;;;;;;;
235;AA;34044149;DEPT OF CORRECTIONS;02/25/2014 00:00:00;02/25/2014 00:00:00;NOT APPROVAL(W/REASON);17-19 HAZEN ST;0;17-19;HAZEN ST;;;;;;;;;
237;AA;34047720;N/A;05/26/2015 00:00:00;05/26/2015 00:00:00;NOT APPROVAL(W/REASON);84-33 RADNOR ST;0;84-33;RADNOR ST;;;;;;;;;
238;S;34048926;EXPRESS BUILDERS JB INC;02/25/2014 00:00:00;02/25/2014 00:00:00;APPROVAL;23 S 10 ST;0;23;S 10 ST;;;;;;;;;
239;AA;34050294;DEPT OF CORRECTIONS;03/04/2014 00:00:00;03/04/2014 00:00:00;NOT APPROVAL(W/REASON);17-19 HAZEN ST;0;17-19;HAZEN ST;;;;;;;;;
240;N;34051508;CUNY;08/29/2014 00:00:00;08/29/2014 00:00:00;APPROVAL;94-45 GUY BREWER BLVD;0;94-45;GUY BREWER BLVD;;;;;;;;;
241;G;34054692;SEIGEL  II LLC;05/31/2018 00:00:00;05/31/2018 00:00:00;APPROVAL;114 SIEGEL ST;0;114;SIEGEL ST;;;;;;;;;
242;G;34054700;GREEN COMPLEX INC.;04/10/2015 00:00:00;11/06/2014 00:00:00;NOT APPROVAL(W/REASON);120 SIEGEL ST;0;120;SIEGEL ST;;;;;;;;;
243;S;34056242;STRATIS CONTRACTING CORP;10/26/2017 00:00:00;07/01/2017 00:00:00;NOT APPROVAL(VIO);301 SHORE RD;0;301;SHORE RD;;;;;;;;;
244;RR;34057869;NYC POLICE DEPARTMENT;08/27/2015 00:00:00;08/27/2015 00:00:00;APPROVAL;90 FLOYD BENNETT FIELD;0;90;FLOYD BENNETT FIELD;;;;;;;;;
245;AA;34058339;JOSEPH R LORING & ASSOC;06/30/2014 00:00:00;06/30/2014 00:00:00;NOT APPROVAL(W/REASON);29-10 THOMPSON AVE;0;29-10;THOMPSON AVE;;;;;;;;;
246;N;34067074;CELTICS HOLDING;10/23/2018 00:00:00;10/23/2018 00:00:00;APPROVAL;30-20 THOMPSON AVE;0;30-20;THOMPSON AVE;;;;;;;;;
247;B;34078477;THE GIBSON BROOKLYN;10/13/2018 00:00:00;10/13/2018 00:00:00;APPROVAL;108 BEDFORD AVE;0;108;BEDFORD AVE;;;;;;;;;
248;RR;34079376;NYPD;11/01/2017 00:00:00;11/01/2017 00:00:00;APPROVAL;90 FLOYD BENNETT FIELD;0;90;FLOYD BENNETT FIELD;;;;;;;;;
249;G;34083287;MTA NYC TRANSIT;09/30/2014 00:00:00;03/29/2014 00:00:00;NOT APPROVAL(W/REASON);1 110 ST STATION;0;1;110 ST STATION;;;;;;;;;
250;P;34087320;RIVOLI REALTY CORP.;07/26/2018 00:00:00;07/26/2018 00:00:00;APPROVAL;188-10 UNION TNPK;0;188-10;UNION TNPK;;;;;;;;;
251;AA;34095257;DORMITORY AUTHORITY;04/17/2014 00:00:00;04/17/2014 00:00:00;NOT APPROVAL(W/REASON);29-10 THOMPSON AVE;0;29-10;THOMPSON AVE;;;;;;;;;
252;AA;34099465;NYC SCHOOL CONSTRUCTION;04/23/2014 00:00:00;04/23/2014 00:00:00;NOT APPROVAL(W/REASON);21 WEST END AVE;0;21;WEST END AVE;;;;;;;;;
253;A;34102848;REGAL USA CONSTRUCTION;10/06/2014 00:00:00;10/06/2014 00:00:00;APPROVAL;21 WEST END AVE;0;21;WEST END AVE;;;;;;;;;
254;AA;34108332;COFFEED OF LIC LANDING;07/01/2014 00:00:00;07/01/2014 00:00:00;NOT APPROVAL(W/REASON);52-10 CENTER BLVD;0;52-10;CENTER BLVD;;;;;;;;;
255;S;34118935;D&S IRON WORKS, INC.;05/12/2014 00:00:00;05/12/2014 00:00:00;APPROVAL;150-29 CROSSBAY BLVD;0;150-29;CROSSBAY BLVD;;;;;;;;;
256;AA;34124693;CELTIC HOLDINGS LLC;05/20/2014 00:00:00;05/20/2014 00:00:00;NOT APPROVAL(W/REASON);30-20 THOMPSON AVE;0;30-20;THOMPSON AVE;;;;;;;;;
257;AA;34126706;CITY OF NEW YORK PARKS;10/01/2014 00:00:00;10/01/2014 00:00:00;NOT APPROVAL(W/REASON);260 CEDAR GROVE AVE;0;260;CEDAR GROVE AVE;;;;;;;;;
258;N;34137083;CELTIC HOLDINGS LLC;07/29/2014 00:00:00;07/29/2014 00:00:00;APPROVAL;30-20 THOMPSON AVE;0;30-20;THOMPSON AVE;;;;;;;;;
259;N;34138131;DORMITORY AUTORITY OF NY;01/19/2014 00:00:00;01/19/2014 00:00:00;APPROVAL;31-40 THOMPSON AVE;0;31-40;THOMPSON AVE;;;;;;;;;
260;N;34138149;DORMITORY AUTORITY OF NY;04/26/2017 00:00:00;04/26/2017 00:00:00;NOT APPROVAL(W/REASON);31-40 THOMPSON AVE;0;31-40;THOMPSON AVE;;;;;;;;;
261;S;34142166;NYC DEPT OF CORRECTION;06/05/2014 00:00:00;06/05/2014 00:00:00;NOT APPROVAL(VIO);30 PERIMETER RD;0;30;PERIMETER RD;;;;;;;;;
262;S;34142166;NYC DEPT OF CORRECTION;06/05/2014 00:00:00;06/05/2014 00:00:00;NOV(HOLD);30 PERIMETER RD;0;30;PERIMETER RD;;;;;;;;;
263;AA;34151662;WILLIAMSBURG EDGE LLC;06/17/2014 00:00:00;06/17/2014 00:00:00;NOT APPROVAL(W/REASON);2 N 6 ST;0;2;N 6 ST;;;;;;;;;
264;AA;34157651;M214 WEST 39TH STRET STE;06/24/2014 00:00:00;06/24/2014 00:00:00;NOT APPROVAL(W/REASON);1029 6 AVE;0;1029;6 AVE;;;;;;;;;
265;T;34157883;NY KIDS CLUB;09/14/2015 00:00:00;09/14/2015 00:00:00;APPROVAL;2 NORTHSIDE PIER;0;2;NORTHSIDE PIER;;;;;;;;;
266;N;34173534;KINGSBRIDGE ASSOC;02/17/2016 00:00:00;02/17/2016 00:00:00;APPROVAL;90 W 225 ST;0;90;W 225 ST;;;;;;;;;
267;AA;34178145;STILLWELL SELF STORAGE;07/15/2014 00:00:00;07/15/2014 00:00:00;NOT APPROVAL(W/REASON);1540 BASSETT AVE;0;1540;BASSETT AVE;;;;;;;;;
268;AA;34178640;GTJ REIT INC;09/18/2014 00:00:00;09/18/2014 00:00:00;NOT APPROVAL(W/REASON);114-15 GUY BREWER BLVD;0;114-15;GUY BREWER BLVD;;;;;;;;;
269;G;34179374;AL PISNANI;03/06/2014 00:00:00;03/06/2014 00:00:00;APPROVAL;9-25 CROSSBAY BLVD;0;9-25;CROSSBAY BLVD;;;;;;;;;
270;AA;34180679;WYTHE & KENT REALTY LLC;10/14/2014 00:00:00;10/14/2014 00:00:00;NOT APPROVAL(W/REASON);23 S 10 ST;0;23;S 10 ST;;;;;;;;;
271;S;34193045;KSW MECHANICAL SERV;10/09/2015 00:00:00;10/09/2015 00:00:00;APPROVAL;21 WEST END AVE;0;21;WEST END AVE;;;;;;;;;
272;S;34200642;PARKVIEW PLUMBING & HEAT;06/07/2016 00:00:00;06/07/2016 00:00:00;APPROVAL;21 WEST END AVE;0;21;WEST END AVE;;;;;;;;;
273;A;34209445;UNIQUE MECHANICAL SERV.;08/12/2014 00:00:00;08/12/2014 00:00:00;APPROVAL;30-30 THOMPSON AVE;0;30-30;THOMPSON AVE;;;;;;;;;
274;G;34218222;JOSHUA LYLES;05/13/2014 00:00:00;05/13/2014 00:00:00;APPROVAL;52-10 CENTER BLVD;0;52-10;CENTER BLVD;;;;;;;;;
275;N;34219402;E&Y DEVELOPMENT;03/18/2015 00:00:00;03/18/2015 00:00:00;APPROVAL;2257 ADAM CLAYTON BLVD;0;2257;ADAM CLAYTON BLVD;;;;;;;;;
276;S;34241299;NYC DEPT OF CORRECTION;09/06/2017 00:00:00;09/06/2017 00:00:00;NOT APPROVAL(W/REASON);17-19 HAZEN ST;0;17-19;HAZEN ST;;;;;;;;;
277;AA;34263228;MICHAEL DIGIACOMO;12/18/2014 00:00:00;12/18/2014 00:00:00;NOT APPROVAL(W/REASON);21 WEST END AVE;0;21;WEST END AVE;;;;;;;;;
278;S;34267286;PARAGON IRON INC.;11/09/2015 00:00:00;11/09/2015 00:00:00;APPROVAL;21 WEST END AVE;0;21;WEST END AVE;;;;;;;;;
279;Z;34274423;REGAL USA CONSTRUCTION I;10/22/2014 00:00:00;10/22/2014 00:00:00;APPROVAL;21 WEST END AVE;0;21;WEST END AVE;;;;;;;;;
280;A;34279794;REGAL USA CONSTRUCTION I;10/28/2014 00:00:00;10/28/2014 00:00:00;APPROVAL;21 WEST END AVE;0;21;WEST END AVE;;;;;;;;;
281;N;34282574;213-14 UNION TURNPIKE;05/11/2015 00:00:00;05/11/2015 00:00:00;APPROVAL;213-18 UNION TNPK;0;213-18;UNION TNPK;;;;;;;;;
282;N;34289314;LAGUARDIA COM COLLEGE;03/18/2015 00:00:00;03/18/2015 00:00:00;APPROVAL;29-10 THOMPSON AVE;0;29-10;THOMPSON AVE;;;;;;;;;
283;AA;34322727;KINGSBRIDGE ASSOCIATES;12/16/2014 00:00:00;12/16/2014 00:00:00;NOT APPROVAL(W/REASON);90 W 225 ST;0;90;W 225 ST;;;;;;;;;
284;A;34328229;TUTOR PERINI CORP;12/19/2015 00:00:00;12/19/2015 00:00:00;APPROVAL;100 HUDSON RD;0;100;HUDSON RD;;;;;;;;;
285;AA;34331827;BELLEROSE JEWISH CENTER;12/24/2014 00:00:00;12/24/2014 00:00:00;NOT APPROVAL(W/REASON);254-14 UNION TNPK;0;254-14;UNION TNPK;;;;;;;;;
286;AA;34333211;DASNY;12/29/2014 00:00:00;12/29/2014 00:00:00;NOT APPROVAL(W/REASON);29-10 THOMPSON AVE;0;29-10;THOMPSON AVE;;;;;;;;;
287;T;35014851;HARLEM DOCTORS MED;01/21/2015 00:00:00;01/21/2015 00:00:00;APPROVAL;2257 ADAM CLAYTON BLVD;0;2257;ADAM CLAYTON BLVD;;;;;;;;;
288;AA;35078013;SAXON DESIGN GROUP;03/26/2015 00:00:00;03/26/2015 00:00:00;NOT APPROVAL(W/REASON);2175 ADAM CLAYTON BLVD;0;2175;ADAM CLAYTON BLVD;;;;;;;;;
289;A;35087535;LIC LANDING BY COFFEED;12/04/2018 00:00:00;12/04/2018 00:00:00;NOT APPROVAL(VIO);52-10 CENTER BLVD;0;52-10;CENTER BLVD;;;;;;;;;
290;T;35095603;STRATIS CONTRACTING CORP;03/10/2015 00:00:00;03/10/2015 00:00:00;APPROVAL;301 SHORE RD;0;301;SHORE RD;;;;;;;;;
291;A;35099035;J.E. LEVINE BUILDERS;08/09/2016 00:00:00;08/09/2016 00:00:00;APPROVAL;2 N 6 ST;0;2;N 6 ST;;;;;;;;;
292;G;35104421;BATTERY PK DEVELOP CORP;11/12/2015 00:00:00;11/12/2015 00:00:00;APPROVAL;1 NORTH RIVER-PIER A;0;1;NORTH RIVER-PIER A;;;;;;;;;
293;A;35107515;MOES SOUTHWEST GRILL;04/20/2015 00:00:00;04/20/2015 00:00:00;APPROVAL;1029 6 AVE;0;1029;6 AVE;;;;;;;;;
294;N;35108521;NYCSCA;12/19/2015 00:00:00;12/19/2015 00:00:00;NOT APPROVAL(W/REASON);30-30 THOMPSON AVE;0;30-30;THOMPSON AVE;;;;;;;;;
295;AA;35113851;DR JOSEPH MCGINN;04/29/2015 00:00:00;04/29/2015 00:00:00;NOT APPROVAL(W/REASON);7 CARRIAGE CT;0;7;CARRIAGE CT;;;;;;;;;
296;N;35138759;PLANET FITNESS;12/29/2015 00:00:00;12/29/2015 00:00:00;APPROVAL;82 W 225 ST;0;82;W 225 ST;;;;;;;;;
297;A;35140375;GCT CONSTRUCTORS;11/29/2018 00:00:00;11/29/2018 00:00:00;APPROVAL;82 W 225 ST;0;82;W 225 ST;;;;;;;;;
298;S;35144856;N.S.P. ENTERPRISES INC.;02/22/2016 00:00:00;02/22/2016 00:00:00;APPROVAL;10 GRAND ARMY PLZ;0;10;GRAND ARMY PLZ;;;;;;;;;
299;R;35151224;BRP CONSTRUCTION GROUP;06/04/2015 00:00:00;06/04/2015 00:00:00;APPROVAL;2239 ADAM CLAYTON BLVD;0;2239;ADAM CLAYTON BLVD;;;;;;;;;
300;N;35155084;CUNNY;06/11/2015 00:00:00;06/11/2015 00:00:00;APPROVAL;29-10 THOMPSON AVE;0;29-10;THOMPSON AVE;;;;;;;;;
