Region,Poblacion,Superficie,Fecha,Nuevos.Sintomaticos,Nuevos.Asintomaticos,Nuevos.No.Notificados,Nuevos.Confirmados,Tasa.Incidencia,Casos.Confirmados,Nuevos.Fallecidos,Casos.Fallecidos,Letalidad,Activos.Confirmados,Activos.Probables,Probables.Acumulados,Recuperados.Confirmados,Fecha.Primer.Contagiado,Periodo.Infeccioso,Pacientes.UCI,Examenes.PCR,Examenes.PCR.Acumulados,Tasa.Positividad,I.Movilidad,Residencias.Sanitarias,Cupos.Residencias.Sanitarias,Usuarios.Residencias.Sanitarias,Vacunados.Primera.Dosis,Vacunados.Segunda.Dosis,Vacunados.Tercera.Dosis,Vacunados.Cuarta.Dosis,Vacunados.Unica.Dosis
Los Lagos,891440,48583,2021-05-28,246,153,22,421,"47,22695863",76349,8,1033,"1,35299742",2123,621,12872,73175,2020-03-07,448,89,5147,1182909,"8,179522052",0,12,625,350,483055,372159,0,0,0
Aysen,107297,108494,2021-05-28,40,25,1,66,"61,51150545",5713,1,34,"0,5951339051",497,143,1250,5184,2020-03-14,441,10,800,109506,"8,25",0,5,121,46,59429,44645,0,0,0
Magallanes,178362,132033,2021-05-28,47,19,4,70,"39,24602774",27651,1,400,"1,446602293",418,125,2975,26820,2020-03-17,438,24,1092,226575,"6,41025641",0,14,500,136,112717,93545,0,0,0
Total,19458310,755839,2021-05-28,5900,2238,542,8680,"44,60819054",1361381,119,28928,"2,124901111",43793,13104,260367,1287804,2020-03-03,452,3067,72571,14541039,"11,96070056",0,197,14035,7778,10525842,7982166,0,0,0
Arica y Parinacota,252110,16873,2021-05-27,56,57,2,115,"45,61500932",22452,6,435,"1,937466595",665,153,2634,21336,2020-03-19,435,31,1616,297001,"7,116336634",0,14,841,499,117609,87443,0,0,0
Tarapaca,382773,42225,2021-05-27,74,48,1,123,"32,13392794",36453,7,667,"1,829753381",540,294,8262,35232,2020-03-23,431,48,2216,371135,"5,550541516",0,8,594,418,178660,137279,0,0,0
Antofagasta,691854,126049,2021-05-27,107,73,4,184,"26,5952065",52638,5,1028,"1,952961739",1024,180,5176,50535,2020-03-14,440,88,3286,787780,"5,599513086",0,10,816,437,337732,245931,0,0,0
Atacama,314709,75176,2021-05-27,42,24,1,67,"21,28950872",20879,2,228,"1,092006322",806,70,1018,19855,2020-03-14,440,23,460,275548,"14,56521739",0,4,284,130,162153,120451,0,0,0
Coquimbo,836096,40579,2021-05-27,179,37,5,221,"26,4323714",36763,8,684,"1,86056633",1260,344,6209,34800,2020-03-19,435,89,2479,454526,"8,914885034",0,8,597,384,438720,333905,0,0,0
Valparaiso,1960170,16396,2021-05-27,446,101,58,605,"30,8646699",96546,25,2542,"2,63294181",2826,1125,37794,91116,2020-03-16,438,217,6194,1177785,"9,767516952",0,10,1260,545,1137601,898506,0,0,0
