Region,Poblacion,Superficie,Fecha,Nuevos.Sintomaticos,Nuevos.Asintomaticos,Nuevos.No.Notificados,Nuevos.Confirmados,Tasa.Incidencia,Casos.Confirmados,Nuevos.Fallecidos,Casos.Fallecidos,Letalidad,Activos.Confirmados,Activos.Probables,Probables.Acumulados,Recuperados.Confirmados,Fecha.Primer.Contagiado,Periodo.Infeccioso,Pacientes.UCI,Examenes.PCR,Examenes.PCR.Acumulados,Tasa.Positividad,I.Movilidad,Residencias.Sanitarias,Cupos.Residencias.Sanitarias,Usuarios.Residencias.Sanitarias,Vacunados.Primera.Dosis,Vacunados.Segunda.Dosis,Vacunados.Tercera.Dosis,Vacunados.Cuarta.Dosis,Vacunados.Unica.Dosis
Arica y Parinacota,252110,16873,2022-04-14,11,5,2,18,"7,139740589",55196,0,807,"1,462062468",98,0,3439,54250,2020-03-19,757,1,483,627592,"3,726708075",0,1,24,5,0,0,0,0,0
Tarapaca,382773,42225,2022-04-14,17,5,3,25,"6,531286167",79296,1,1085,"1,36829096",89,0,10393,78096,2020-03-23,753,3,1962,902149,"1,27420999",0,2,147,43,0,0,0,0,0
Antofagasta,691854,126049,2022-04-14,20,18,10,48,"6,937879957",122096,1,1748,"1,431660333",272,1,6822,120047,2020-03-14,762,15,1515,1629580,"3,168316832",0,2,87,10,0,0,0,0,0
Atacama,314709,75176,2022-04-14,32,21,7,60,"19,06523169",65431,3,580,"0,8864299797",212,0,1743,64663,2020-03-14,762,4,697,721782,"8,608321377",0,1,30,12,0,0,0,0,0
Coquimbo,836096,40579,2022-04-14,75,33,22,130,"15,54845377",125334,2,1658,"1,322865304",437,0,9383,123254,2020-03-19,757,11,1576,1097080,"8,248730964",0,1,95,19,0,0,0,0,0
Valparaiso,1960170,16396,2022-04-14,223,31,113,367,"18,72286587",302969,12,5541,"1,828899986",1295,1,50200,296524,2020-03-16,760,38,4368,2646318,"8,402014652",0,1,204,15,0,0,0,0,0
Metropolitana,8125072,15403,2022-04-14,689,167,308,1164,"14,3260269",1345810,11,28129,"2,090116733",4993,6,161563,1314223,2020-03-04,772,188,18265,12526079,"6,372844238",0,3,526,74,0,0,0,0,0
OHiggins,991063,16387,2022-04-14,86,49,24,159,"16,04337968",148773,7,2495,"1,677051616",516,0,14803,145924,2020-03-19,757,9,1155,1176838,"13,76623377",0,1,24,14,0,0,0,0,0
Maule,1131939,30296,2022-04-14,159,24,40,223,"19,70070825",237535,4,2870,"1,208242996",760,3,10644,233903,2020-03-03,773,22,2952,1787175,"7,554200542",0,4,291,71,0,0,0,0,0
Nuble,511551,13178,2022-04-14,73,13,21,107,"20,91678054",99363,2,1085,"1,091955758",347,0,10179,97894,2020-03-12,764,8,1066,791940,"10,03752345",0,3,88,12,0,0,0,0,0
Biobio,1663696,23890,2022-04-14,161,53,72,286,"17,1906406",350624,12,4239,"1,208987405",1129,3,35964,345120,2020-03-09,767,30,5369,3481114,"5,326876513",0,3,421,122,0,0,0,0,0
Araucania,1014343,31842,2022-04-14,102,12,35,149,"14,68931121",214611,10,2547,"1,18679844",486,0,11319,211599,2020-03-16,760,12,1830,1475889,"8,142076503",0,2,174,45,0,0,0,0,0
Los Rios,405835,18429,2022-04-14,25,14,17,56,"13,7987113",105562,1,1206,"1,142456566",232,0,6034,104082,2020-03-16,760,3,908,782989,"6,167400881",0,1,120,11,0,0,0,0,0
Los Lagos,891440,48583,2022-04-14,41,23,15,79,"8,862065871",193912,2,2295,"1,183526548",276,0,16331,191200,2020-03-07,769,14,2800,2340175,"2,821428571",0,1,50,8,0,0,0,0,0
Aysen,107297,108494,2022-04-14,11,10,0,21,"19,57184264",24799,1,179,"0,7218032985",91,0,1794,24504,2020-03-14,762,1,380,259656,"5,526315789",0,1,25,5,0,0,0,0,0
Magallanes,178362,132033,2022-04-14,35,1,9,45,"25,22958926",51068,0,701,"1,372679565",169,0,3294,50132,2020-03-17,759,2,503,457242,"8,946322068",0,2,41,1,0,0,0,0,0
Total,19458310,755839,2022-04-14,1760,479,698,2937,"15,09380825",3522422,69,57167,"1,622945803",11402,14,353905,3455457,2020-03-03,773,361,45829,32703598,"6,408605905",0,29,2347,467,0,0,0,0,0
Arica y Parinacota,252110,16873,2022-04-13,8,6,1,15,"5,949783825",55178,0,807,"1,462539418",126,0,3439,54205,2020-03-19,756,1,845,627109,"1,775147929",0,1,24,5,0,0,0,0,0
Tarapaca,382773,42225,2022-04-13,15,2,3,20,"5,225028934",79271,0,1084,"1,367460988",95,0,10393,78068,2020-03-23,752,3,951,900187,"2,103049422",0,2,147,43,0,0,0,0,0
Antofagasta,691854,126049,2022-04-13,24,22,16,62,"8,961428278",122046,0,1747,"1,431427495",310,2,6824,119963,2020-03-14,761,15,2177,1628065,"2,847955903",0,2,87,11,0,0,0,0,0
Atacama,314709,75176,2022-04-13,17,27,8,52,"16,5232008",65369,0,577,"0,8826813933",216,0,1744,64603,2020-03-14,761,4,685,721085,"7,591240876",0,1,30,6,0,0,0,0,0
Coquimbo,836096,40579,2022-04-13,58,17,22,97,"11,60153858",125203,0,1656,"1,322652013",451,1,9383,123112,2020-03-19,756,11,1084,1095504,"8,948339483",0,1,95,15,0,0,0,0,0
Valparaiso,1960170,16396,2022-04-13,228,25,121,374,"19,07997776",302550,0,5529,"1,827466534",1199,2,50200,296226,2020-03-16,759,39,3091,2641950,"12,09964413",0,1,204,14,0,0,0,0,0
Metropolitana,8125072,15403,2022-04-13,695,126,359,1180,"14,52294823",1344453,4,28118,"2,091408179",4950,4,161563,1312958,2020-03-04,771,200,15058,12507814,"7,836366051",0,3,526,81,0,0,0,0,0
OHiggins,991063,16387,2022-04-13,94,23,10,127,"12,8145234",148612,0,2488,"1,674158211",503,0,14802,145790,2020-03-19,756,10,420,1175683,"30,23809524",0,1,24,11,0,0,0,0,0
Maule,1131939,30296,2022-04-13,151,12,20,183,"16,16694893",237319,0,2866,"1,207657204",730,3,10644,233729,2020-03-03,772,23,1068,1784223,"17,13483146",0,4,291,66,0,0,0,0,0
Nuble,511551,13178,2022-04-13,53,8,13,74,"14,46581084",99257,0,1083,"1,091106924",341,0,10180,97800,2020-03-12,763,10,639,790874,"11,58059468",0,3,88,13,0,0,0,0,0
Biobio,1663696,23890,2022-04-13,124,27,88,239,"14,36560525",350350,0,4227,"1,206507778",1173,1,35962,344825,2020-03-09,766,31,3062,3475745,"7,805355976",0,3,421,141,0,0,0,0,0
Araucania,1014343,31842,2022-04-13,70,5,40,115,"11,33738785",214436,0,2537,"1,183103583",485,0,11319,211444,2020-03-16,759,10,1052,1474059,"10,93155894",0,2,174,42,0,0,0,0,0
Los Rios,405835,18429,2022-04-13,29,20,9,58,"14,29152242",105497,0,1205,"1,142212575",253,0,6034,104002,2020-03-16,759,3,441,782081,"13,15192744",0,1,120,10,0,0,0,0,0
Los Lagos,891440,48583,2022-04-13,48,16,7,71,"7,964641479",193457,0,2293,"1,185276315",297,1,16330,190735,2020-03-07,768,15,1252,2337375,"5,670926518",0,1,50,8,0,0,0,0,0
Aysen,107297,108494,2022-04-13,8,12,1,21,"19,57184264",24777,0,178,"0,7184082012",82,0,1794,24495,2020-03-14,761,2,147,259276,"14,28571429",0,1,25,3,0,0,0,0,0
Magallanes,178362,132033,2022-04-13,42,0,12,54,"30,27550711",50982,0,701,"1,374995096",152,0,3294,50066,2020-03-17,758,2,369,456739,"14,63414634",0,2,41,4,0,0,0,0,0
Total,19458310,755839,2022-04-13,1664,348,730,2742,"14,09166572",3518800,4,57098,"1,622655451",11363,14,353905,3452063,2020-03-03,772,379,32341,32657769,"8,478402028",0,29,2347,473,0,0,0,0,0
Arica y Parinacota,252110,16873,2022-04-12,8,10,0,18,"7,139740589",55163,0,807,"1,462937114",218,0,3439,54098,2020-03-19,755,1,330,626264,"5,454545455",0,1,24,8,223490,213447,164954,27865,10223
Tarapaca,382773,42225,2022-04-12,13,2,3,18,"4,70252604",79251,0,1084,"1,367806084",101,0,10393,78042,2020-03-23,751,3,1333,899236,"1,350337584",0,2,147,37,342073,321990,247025,33219,18960
Antofagasta,691854,126049,2022-04-12,11,7,1,19,"2,74624415",121981,0,1747,"1,432190259",335,0,6821,119873,2020-03-14,760,16,1703,1625888,"1,115678215",0,2,87,15,629230,608127,484595,70004,21121
Atacama,314709,75176,2022-04-12,17,3,2,22,"6,990584953",65317,0,577,"0,8833841113",233,0,1744,64534,2020-03-14,760,3,159,720400,"13,83647799",0,1,30,5,300534,289780,226523,38025,7369
Coquimbo,836096,40579,2022-04-12,52,5,16,73,"8,731054807",125102,0,1656,"1,323719845",473,0,9382,122989,2020-03-19,755,13,556,1094420,"13,1294964",0,1,95,18,773523,751290,600334,109813,24165
Valparaiso,1960170,16396,2022-04-12,121,10,28,159,"8,111541346",302106,0,5529,"1,830152331",1182,0,50199,295800,2020-03-16,758,42,1584,2638859,"10,03787879",0,1,204,18,1823317,1774544,1452092,342525,51447
Metropolitana,8125072,15403,2022-04-12,334,84,263,681,"8,381464189",1343314,12,28114,"2,092883719",5401,5,161567,1311415,2020-03-04,770,214,13390,12492756,"5,085884989",0,3,526,75,6817319,6637916,5488419,1176960,225747
OHiggins,991063,16387,2022-04-12,35,8,6,49,"4,944186192",148485,0,2488,"1,675590127",543,0,14802,145623,2020-03-19,755,12,359,1175263,"13,64902507",0,1,24,7,954046,930814,760402,155795,23348
Maule,1131939,30296,2022-04-12,75,6,5,86,"7,597582555",237136,0,2866,"1,208589164",772,1,10644,233504,2020-03-03,771,24,484,1783155,"17,76859504",0,4,291,55,1066341,1040109,856704,173520,31169
Nuble,511551,13178,2022-04-12,40,6,4,50,"9,774196512",99183,0,1083,"1,091920995",383,0,10180,97684,2020-03-12,762,9,354,790235,"14,12429379",0,3,88,14,495319,485647,405790,87966,11284
Biobio,1663696,23890,2022-04-12,99,4,37,140,"8,414998894",350137,1,4227,"1,207241737",1403,1,35962,344382,2020-03-09,765,33,1758,3472683,"7,963594994",0,3,421,156,1508216,1472223,1220147,262264,43896
Araucania,1014343,31842,2022-04-12,28,9,30,67,"6,605260745",214314,0,2537,"1,183777075",525,0,11319,211282,2020-03-16,758,16,597,1473007,"11,22278057",0,2,174,36,940166,915412,719077,139394,28859
Los Rios,405835,18429,2022-04-12,19,0,13,32,"7,884977885",105433,0,1205,"1,142905921",265,0,6034,103926,2020-03-16,758,3,272,781640,"11,76470588",0,1,120,15,377358,367420,299083,60189,13139
Los Lagos,891440,48583,2022-04-12,23,2,7,32,"3,589697568",193240,0,2293,"1,186607328",320,0,16330,190495,2020-03-07,767,21,700,2336123,"4,571428571",0,1,50,9,819939,795929,638686,109920,38118
Aysen,107297,108494,2022-04-12,6,6,0,12,"11,18391008",24756,0,178,"0,7190176119",82,0,1794,24474,2020-03-14,760,2,73,259129,"16,43835616",0,1,25,3,93446,91034,78588,13913,10702
Magallanes,178362,132033,2022-04-12,14,0,6,20,"11,21315078",50917,0,701,"1,376750398",128,0,3294,50025,2020-03-17,757,2,145,456370,"13,79310345",0,2,41,3,156081,153093,138834,32518,14991
Total,19458310,755839,2022-04-12,895,162,421,1478,"7,595726453",3515878,13,57094,"1,623890249",12364,7,353904,3448188,2020-03-03,771,414,23797,32625428,"6,210866916",0,29,2347,474,17320398,16848775,13781253,2833890,574538
Arica y Parinacota,252110,16873,2022-04-11,12,5,0,17,"6,743088334",55141,0,807,"1,463520792",209,0,3439,54085,2020-03-19,754,1,202,625934,"8,415841584",0,1,24,8,223463,213398,164780,27515,10223
Tarapaca,382773,42225,2022-04-11,12,5,3,20,"5,225028934",79232,0,1084,"1,368134087",118,0,10393,78006,2020-03-23,750,3,1283,897903,"1,558846454",0,2,147,47,342008,321890,246744,32727,18960
Antofagasta,691854,126049,2022-04-11,25,20,11,56,"8,094193284",121963,1,1747,"1,43240163",469,0,6821,119721,2020-03-14,759,16,1648,1624185,"3,398058252",0,2,87,22,629189,608045,484225,68681,21121
Atacama,314709,75176,2022-04-11,13,8,9,30,"9,532615845",65294,0,577,"0,8836952859",277,0,1744,64467,2020-03-14,759,4,581,720241,"5,163511188",0,1,30,4,300512,289742,226379,37446,7369
Coquimbo,836096,40579,2022-04-11,37,10,14,61,"7,295812921",125026,0,1656,"1,324524499",590,0,9381,122796,2020-03-19,754,12,1420,1093864,"4,295774648",0,1,95,19,773479,751198,600002,108267,24165
Valparaiso,1960170,16396,2022-04-11,124,16,56,196,"9,999132728",301909,4,5529,"1,831346532",1477,0,50199,295308,2020-03-16,757,43,3121,2637275,"6,280038449",0,1,204,19,1823210,1774276,1450709,336309,51447
Metropolitana,8125072,15403,2022-04-11,471,116,462,1049,"12,91065482",1342567,16,28102,"2,093154383",6547,8,161566,1309522,2020-03-04,769,219,17546,12479366,"5,978570614",0,3,526,119,6816994,6637344,5485092,1158270,225747
OHiggins,991063,16387,2022-04-11,56,14,25,95,"9,585667107",148437,3,2488,"1,676131962",700,0,14802,145418,2020-03-19,754,13,909,1174904,"10,4510451",0,1,24,9,954014,930737,759849,153173,23348
Maule,1131939,30296,2022-04-11,123,39,5,167,"14,75344519",237050,8,2866,"1,209027631",982,1,10644,233208,2020-03-03,770,18,1541,1782671,"10,83711875",0,4,291,77,1066289,1039992,855852,170687,31169
Nuble,511551,13178,2022-04-11,43,6,22,71,"13,87935905",99133,1,1083,"1,09247173",470,0,10180,97547,2020-03-12,761,9,757,789881,"9,379128137",0,3,88,16,495281,485605,405370,86800,11284
Biobio,1663696,23890,2022-04-11,105,28,77,210,"12,62249834",350000,5,4226,"1,207428571",1826,1,35962,343822,2020-03-09,764,34,2921,3470925,"7,189318726",0,3,421,177,1508147,1472089,1219444,258398,43896
Araucania,1014343,31842,2022-04-11,60,15,29,104,"10,25294205",214246,2,2537,"1,184152796",628,1,11319,211111,2020-03-16,757,14,1568,1472410,"6,632653061",0,2,174,35,940132,915340,718513,137572,28859
Los Rios,405835,18429,2022-04-11,17,2,24,43,"10,59543903",105401,0,1205,"1,14325291",302,0,6034,103857,2020-03-16,757,3,643,781368,"6,687402799",0,1,120,19,377330,367392,298872,59538,13139
Los Lagos,891440,48583,2022-04-11,32,12,15,59,"6,618504891",193207,0,2293,"1,186810002",402,0,16330,190380,2020-03-07,766,22,1494,2335423,"3,949129853",0,2,110,17,819893,795837,638231,108506,38118
Aysen,107297,108494,2022-04-11,9,4,0,13,"12,11590259",24744,0,178,"0,719366311",107,0,1794,24437,2020-03-14,759,2,117,259056,"11,11111111",0,1,25,2,93427,91006,78563,13753,10702
Magallanes,178362,132033,2022-04-11,12,2,4,18,"10,0918357",50898,0,701,"1,377264333",145,0,3294,49989,2020-03-17,756,3,311,456225,"5,78778135",0,2,41,4,156078,153085,138791,32107,14991
Total,19458310,755839,2022-04-11,1151,302,756,2209,"11,35247614",3514291,40,57081,"1,624253655",15249,11,353902,3443716,2020-03-03,770,416,36062,32601631,"6,125561533",0,30,2407,594,17319446,16846976,13771416,2789749,574538
Arica y Parinacota,252110,16873,2022-04-10,13,7,5,25,"9,916306374",55124,0,807,"1,463972136",205,0,3439,54073,2020-03-19,753,2,424,625732,"5,896226415",0,1,24,7,223418,213331,164533,27070,10223
Tarapaca,382773,42225,2022-04-10,17,2,1,20,"5,225028934",79213,0,1084,"1,368462247",122,0,10387,77984,2020-03-23,749,3,1037,896620,"1,928640309",0,2,147,55,341879,321695,246332,31921,18960
Antofagasta,691854,126049,2022-04-10,25,56,18,99,"14,30937741",121905,0,1746,"1,432262828",466,0,6812,119668,2020-03-14,758,16,2420,1622537,"4,090909091",0,2,87,25,629101,607879,483624,66744,21121
Atacama,314709,75176,2022-04-10,15,13,14,42,"13,34566218",65263,0,577,"0,8841150422",274,0,1739,64439,2020-03-14,758,5,826,719660,"5,084745763",0,1,30,4,300473,289655,226043,36593,7369
Coquimbo,836096,40579,2022-04-10,66,18,25,109,"13,03678047",124961,3,1656,"1,325213467",633,0,9374,122692,2020-03-19,753,12,1797,1092444,"6,065664997",0,1,95,24,773400,750993,599273,106145,24165
Valparaiso,1960170,16396,2022-04-10,176,42,110,328,"16,73324252",301692,3,5525,"1,831337921",1572,0,50179,295003,2020-03-16,756,44,3662,2634154,"8,956854178",0,1,204,17,1822999,1773880,1448907,329085,51447
Metropolitana,8125072,15403,2022-04-10,629,183,449,1261,"15,51986247",1341500,17,28086,"2,093626537",6747,7,161465,1308290,2020-03-04,768,222,20893,12461820,"6,035514287",0,3,526,119,6816280,6636089,5479019,1130800,225747
OHiggins,991063,16387,2022-04-10,83,44,4,131,"13,21813043",148340,0,2485,"1,675205609",731,0,14788,145298,2020-03-19,753,13,1159,1173995,"11,30284728",0,1,24,15,953915,930583,758869,149459,23348
Maule,1131939,30296,2022-04-10,150,40,27,217,"19,17064435",236883,3,2858,"1,206502788",1056,1,10639,232981,2020-03-03,769,17,3011,1781130,"7,206908004",0,4,291,77,1066210,1039776,854636,167013,31169
Nuble,511551,13178,2022-04-10,40,10,28,78,"15,24774656",99063,3,1082,"1,092234235",483,1,10174,97472,2020-03-12,760,9,973,789124,"8,016443988",0,3,88,23,495233,485508,404807,84743,11284
Biobio,1663696,23890,2022-04-10,192,56,109,357,"21,45824718",349789,6,4221,"1,206727484",1871,1,35930,343572,2020-03-09,763,35,4229,3468004,"8,441711989",0,3,421,174,1507991,1471722,1218076,252912,43896
Araucania,1014343,31842,2022-04-10,89,28,53,170,"16,75961682",214136,4,2535,"1,183827101",673,1,11306,210963,2020-03-16,756,16,2138,1470842,"7,951356408",0,2,174,45,940035,915124,717466,135107,28859
Los Rios,405835,18429,2022-04-10,22,13,24,59,"14,53792798",105356,1,1205,"1,14374122",314,0,6031,103804,2020-03-16,756,3,704,780725,"8,380681818",0,1,120,22,377271,367295,298472,58573,13138
Los Lagos,891440,48583,2022-04-10,49,34,19,102,"11,442161",193147,3,2293,"1,187178677",427,0,16319,190302,2020-03-07,765,21,2171,2333929,"4,698295716",0,2,110,17,819801,795687,637462,106697,38118
Aysen,107297,108494,2022-04-10,10,16,1,27,"25,16379768",24731,0,178,"0,7197444503",105,0,1792,24426,2020-03-14,758,2,276,258939,"9,782608696",0,1,25,3,93419,90986,78514,13518,10702
Magallanes,178362,132033,2022-04-10,17,5,10,32,"17,94104125",50874,1,701,"1,377914062",158,0,3289,49952,2020-03-17,755,3,457,455914,"7,002188184",0,2,41,6,156073,153062,138697,31458,14991
Total,19458310,755839,2022-04-10,1593,567,897,3057,"15,71051134",3512020,44,57041,"1,62416501",15837,11,353663,3440961,2020-03-03,769,423,46177,32565569,"6,620178877",0,30,2407,633,17317498,16843265,13754730,2727838,574537
Arica y Parinacota,252110,16873,2022-04-09,14,10,2,26,"10,31295863",55099,0,807,"1,464636382",194,0,3439,54059,2020-03-19,752,1,656,625308,"3,963414634",0,1,24,10,223418,213330,164533,27068,10223
Tarapaca,382773,42225,2022-04-09,7,6,4,17,"4,441274594",79193,0,1084,"1,368807849",132,1,10395,77955,2020-03-23,748,3,784,895583,"2,168367347",0,2,147,55,341877,321693,246327,31917,18960
Antofagasta,691854,126049,2022-04-09,43,32,18,93,"13,44214242",121805,0,1746,"1,433438693",414,0,6821,119623,2020-03-14,757,17,1551,1620117,"5,996131528",0,2,87,20,629101,607878,483620,66739,21121
Atacama,314709,75176,2022-04-09,30,34,12,76,"24,14929347",65222,0,577,"0,8846708166",267,0,1744,64405,2020-03-14,757,4,1054,718834,"7,210626186",0,1,30,2,300473,289655,226043,36592,7369
Coquimbo,836096,40579,2022-04-09,86,24,42,152,"18,17973056",124845,1,1653,"1,324041812",636,0,9381,122575,2020-03-19,752,12,1842,1090647,"8,251900109",0,1,95,36,773400,750991,599262,106130,24165
Valparaiso,1960170,16396,2022-04-09,168,48,91,307,"15,66190688",301293,7,5522,"1,832767439",1552,1,50199,294630,2020-03-16,755,47,3817,2630492,"8,04296568",0,1,204,19,1822998,1773879,1448905,329084,51447
Metropolitana,8125072,15403,2022-04-09,859,207,362,1428,"17,57522887",1340149,14,28069,"2,0944686",6471,4,161560,1307256,2020-03-04,767,234,18590,12440927,"7,68154922",0,3,526,107,6816273,6636081,5478939,1130697,225747
OHiggins,991063,16387,2022-04-09,103,37,15,155,"15,63977265",148209,2,2485,"1,676686301",743,1,14803,145158,2020-03-19,752,13,1186,1172836,"13,06913997",0,1,24,15,953915,930582,758868,149458,23348
Maule,1131939,30296,2022-04-09,194,27,11,232,"20,4958041",236665,7,2855,"1,206346524",1133,0,10643,232691,2020-03-03,768,25,2457,1778119,"9,442409442",0,4,291,81,1066210,1039776,854635,167013,31169
Nuble,511551,13178,2022-04-09,63,14,36,113,"22,08968412",98985,2,1079,"1,090064151",510,2,10181,97373,2020-03-12,759,10,889,788151,"12,71091114",0,3,88,19,495227,485500,404774,84689,11284
Biobio,1663696,23890,2022-04-09,220,69,94,383,"23,02103269",349434,4,4215,"1,206236371",1849,3,35964,343255,2020-03-09,762,34,4088,3463775,"9,36888454",0,3,421,168,1507991,1471722,1218073,252909,43896
Araucania,1014343,31842,2022-04-09,103,14,50,167,"16,46385887",213968,0,2531,"1,182887161",677,1,11318,210798,2020-03-16,755,15,2137,1468704,"7,814693496",0,2,174,46,940035,915124,717466,135107,28859
Los Rios,405835,18429,2022-04-09,28,15,28,71,"17,49479468",105292,1,1204,"1,143486685",322,0,6034,103735,2020-03-16,755,2,874,780021,"8,123569794",0,1,120,20,377271,367295,298472,58573,13138
Los Lagos,891440,48583,2022-04-09,41,37,25,103,"11,55433905",192810,3,2290,"1,187697734",424,0,16328,189975,2020-03-07,764,20,2305,2331758,"4,468546638",0,2,110,16,819801,795687,637460,106697,38118
Aysen,107297,108494,2022-04-09,4,8,0,12,"11,18391008",24703,0,178,"0,7205602558",91,0,1794,24412,2020-03-14,757,3,268,258663,"4,47761194",0,1,25,3,93419,90986,78514,13518,10702
Magallanes,178362,132033,2022-04-09,21,3,9,33,"18,50169879",50841,1,700,"1,376841526",166,0,3295,49913,2020-03-17,754,3,505,455457,"6,534653465",0,2,41,3,156073,153062,138697,31458,14991
Total,19458310,755839,2022-04-09,1984,585,799,3368,"17,3088002",3508556,42,56997,"1,624514473",15581,13,353899,3437855,2020-03-03,768,443,43003,32519392,"7,83201172",0,30,2407,620,17317482,16843241,13754588,2727649,574537
Arica y Parinacota,252110,16873,2022-04-08,13,21,1,35,"13,88282892",55084,0,807,"1,465035219",188,0,3439,54051,2020-03-19,751,1,537,624652,"6,517690875",0,1,24,8,223410,213312,164423,26981,10223
Tarapaca,382773,42225,2022-04-08,19,8,7,34,"8,882549187",79175,0,1084,"1,36911904",141,0,10394,77929,2020-03-23,747,3,1327,894799,"2,562170309",0,4,263,57,341850,321651,246215,31834,18960
Antofagasta,691854,126049,2022-04-08,43,39,29,111,"16,0438474",121698,0,1746,"1,434699009",417,0,6821,119515,2020-03-14,756,18,1851,1618566,"5,996758509",0,2,87,15,629101,607876,483596,66693,21121
Atacama,314709,75176,2022-04-08,30,20,17,67,"21,28950872",65142,0,577,"0,8857572687",264,1,1744,64329,2020-03-14,756,5,831,717780,"8,062575211",0,1,30,4,300461,289649,225997,36559,7369
Coquimbo,836096,40579,2022-04-08,75,27,54,156,"18,65814452",124689,3,1652,"1,324896342",672,0,9381,122386,2020-03-19,751,13,1621,1088805,"9,623689081",0,1,95,35,773392,750973,599158,106053,24165
Valparaiso,1960170,16396,2022-04-08,256,46,123,425,"21,68179291",300974,2,5515,"1,832384193",1567,0,50198,294305,2020-03-16,754,52,4290,2626675,"9,906759907",0,1,204,16,1822993,1773863,1448695,328890,51447
Metropolitana,8125072,15403,2022-04-08,879,206,469,1554,"19,12598436",1338521,12,28055,"2,095970104",6277,7,161557,1305856,2020-03-04,766,241,19776,12422337,"7,858009709",0,3,526,97,6816138,6635835,5476124,1127897,225747
OHiggins,991063,16387,2022-04-08,129,45,22,196,"19,77674477",148052,1,2483,"1,677113447",775,0,14802,144972,2020-03-19,751,16,1317,1171650,"14,88230828",0,1,24,15,953890,930531,758576,149115,23348
Maule,1131939,30296,2022-04-08,204,18,44,266,"23,49949953",236434,4,2848,"1,204564487",1215,0,10642,232389,2020-03-03,767,23,2669,1775662,"9,966279505",0,4,291,88,1066196,1039722,854367,166592,31169
Nuble,511551,13178,2022-04-08,79,11,42,132,"25,80387879",98869,0,1077,"1,089320212",548,2,10180,97226,2020-03-12,758,11,944,787262,"13,98305085",0,3,88,21,495213,485453,404569,84439,11284
Biobio,1663696,23890,2022-04-08,229,86,92,407,"24,46360393",349049,9,4211,"1,206420875",1933,4,35962,342794,2020-03-09,761,36,5586,3459687,"7,286072324",0,3,421,154,1507965,1471639,1217369,252435,43896
Araucania,1014343,31842,2022-04-08,113,19,50,182,"17,94264859",213800,4,2531,"1,183816651",723,1,11319,210585,2020-03-16,754,17,2085,1466567,"8,729016787",0,2,174,43,940021,915094,717247,134925,28859
Los Rios,405835,18429,2022-04-08,46,14,28,88,"21,68368918",105217,4,1203,"1,14335136",341,0,6034,103644,2020-03-16,754,2,741,779147,"11,87584345",0,1,120,20,377260,367275,298332,58396,13137
Los Lagos,891440,48583,2022-04-08,54,27,39,120,"13,46136588",192541,4,2287,"1,187798962",462,0,16328,189677,2020-03-07,763,20,2793,2329453,"4,296455424",0,2,110,18,819773,795546,637199,106502,38118
Aysen,107297,108494,2022-04-08,9,7,0,16,"14,91188011",24690,0,178,"0,7209396517",96,0,1794,24394,2020-03-14,756,3,187,258395,"8,556149733",0,1,25,2,93418,90979,78492,13476,10702
Magallanes,178362,132033,2022-04-08,19,3,9,31,"17,38038371",50805,0,699,"1,375848834",171,0,3295,49873,2020-03-17,753,3,484,454952,"6,404958678",0,2,41,3,156068,153054,138616,31287,14991
Total,19458310,755839,2022-04-08,2197,597,1026,3820,"19,63171519",3504783,43,56955,"1,625064947",15790,15,353890,3433967,2020-03-03,767,464,47039,32476389,"8,120920938",0,32,2523,596,17317149,16842452,13748975,2722074,574536
Arica y Parinacota,252110,16873,2022-04-07,9,89,10,108,"42,83844354",55050,0,807,"1,465940054",179,0,3439,54029,2020-03-19,750,1,704,624115,"15,34090909",0,1,24,8,223375,213231,164042,26680,10223
Tarapaca,382773,42225,2022-04-07,9,11,7,27,"7,05378906",79141,0,1084,"1,369707231",134,1,10394,77903,2020-03-23,746,3,1612,893472,"1,674937965",0,4,263,49,341713,321441,245745,31425,18956
Antofagasta,691854,126049,2022-04-07,32,33,11,76,"10,9849766",121583,4,1746,"1,436056028",430,0,6821,119387,2020-03-14,755,18,2151,1616715,"3,533240353",0,2,87,12,629006,607697,482703,65596,21121
Atacama,314709,75176,2022-04-07,19,16,13,48,"15,25218535",65074,2,577,"0,8866828534",280,1,1744,64246,2020-03-14,755,6,833,716949,"5,762304922",0,1,30,5,300420,289552,225634,36046,7369
Coquimbo,836096,40579,2022-04-07,124,42,36,202,"24,15990508",124546,4,1649,"1,3240088",708,0,9381,122211,2020-03-19,750,14,1987,1087184,"10,16607952",0,1,95,25,773293,750670,598229,104767,24165
Valparaiso,1960170,16396,2022-04-07,261,58,138,457,"23,31430437",300533,11,5513,"1,834407536",1510,0,50198,293927,2020-03-16,753,59,4385,2622385,"10,42189282",0,1,204,19,1822798,1773434,1446291,324404,51447
Metropolitana,8125072,15403,2022-04-07,1009,228,606,1843,"22,68287592",1336903,19,28043,"2,097609176",6363,9,161556,1304182,2020-03-04,765,242,23224,12402561,"7,935756114",0,3,526,82,6815457,6634535,5469745,1111903,225747
OHiggins,991063,16387,2022-04-07,147,25,46,218,"21,99658347",147852,5,2482,"1,678705733",733,0,14803,144816,2020-03-19,750,18,1248,1170333,"17,46794872",0,1,24,9,953795,930304,757395,147128,23348
